gene_id	baseMean_RNA	baseMean_Ribo	log2FoldChange_RNA	padj_RNA	log2FoldChange_Ribo	padj_Ribo	log2FoldChange_RiboRNA	padj_RiboRNA	symb	gene_name	width_gene	biotype	gene_biotype	tx_type	TPM_RNA	TPM_Ribo	TPM_ratio	keep	experiment
ENSG00000000003.15	271.059424804501	49.7239283698343	0.297329534139092	0.59505031067364	0.0305855607164278	0.99968939864732	-0.268367449037091	NA	TSPAN6	TSPAN6	12884	other	protein_coding	mixed_ns	57.7478505229005	91.6178558306049	1.58651542873051	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000000419.12	1275.90412189095	114.122088554992	0.00013409228027739	0.999406367207701	-0.170350738313349	0.99968939864732	-0.166536104435294	0.724026853241299	DPM1	DPM1	23689	other	protein_coding	mixed_ns	182.180566228398	140.927938272261	0.773561863319611	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000000457.14	205.467840741267	10.7933844553863	0.0498965096795596	NA	-0.0524144912108013	0.99968939864732	-0.0741875692397388	NA	SCYL3	SCYL3	44637	other	protein_coding	mixed_ns	12.3343506593109	5.60368173128669	0.454315098221778	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000000460.17	277.527069448317	24.1207311348124	-0.153150694964827	0.862450900572576	-0.83529927311123	0.99968939864732	-0.689488844819338	NA	C1ORF112	C1orf112	192074	other	protein_coding	mixed_ns	14.5079736522839	10.9052407160922	0.751672216772701	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001036.14	1062.25999109339	99.4005005649974	0.0590536963124247	0.925959427530161	0.0191189552060572	0.99968939864732	-0.032619177286368	0.948376068636678	FUCA2	FUCA2	16909	other	protein_coding	mixed_ns	110.88122242373	89.7344349233092	0.80928432210452	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001084.13	1087.31761063944	70.5869405575354	0.152440267987628	0.665867905391697	-0.146089900822462	0.99968939864732	-0.288080032065226	0.527311393576575	GCLC	GCLC	119630	other	protein_coding	mixed_ns	70.1343839392861	39.3769707744667	0.561450298166938	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001167.14	101.386403303303	49.5622508416025	-0.13453356455246	NA	-0.465130388516015	0.99968939864732	-0.324044664964112	NA	NFYA	NFYA	27032	other	protein_coding	mixed_ns	15.6412812318343	66.128246932524	4.22780243845594	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001460.18	81.9605487346975	8.25566050096422	-0.0691648337772681	NA	-0.449049882071846	0.99968939864732	-0.383447143174317	NA	STPG1	STPG1	59936	other	protein_coding	mixed_ns	9.94779990963788	8.66597414840751	0.871144798561089	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001497.16	602.536180888065	97.8074635739748	0.0202805738034527	0.985298899293886	-0.206624319240866	0.99968939864732	-0.219811015888869	0.562269977710784	LAS1L	LAS1L	22194	other	protein_coding	mixed_ns	39.5137160539417	55.4728042788022	1.40388730341318	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001561.7	261.834916105263	34.1660350588359	-0.0244835490099418	0.986460335511076	0.238294152127577	0.99968939864732	0.277216496671658	NA	ENPP4	ENPP4	16700	other	protein_coding	mixed_ns	30.9630375256555	34.9424990114152	1.12852296815073	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001629.10	738.073866567362	22.7842820087068	0.0915691774926012	0.880665281216864	-0.580733052655248	0.99968939864732	-0.653937887501909	NA	ANKIB1	ANKIB1	155410	other	protein_coding	mixed_ns	31.1355836349244	8.31258138403087	0.266980104869682	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001630.17	753.838471191266	52.1107771380383	-0.0125778548644246	0.987720465878439	0.253156940253113	0.99968939864732	0.270769429445635	NA	CYP51A1	CYP51A1	22651	other	protein_coding	mixed_ns	64.6166775836051	38.6311162018116	0.597850549524591	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000001631.15	354.17332882396	15.4973860944212	-0.0556893991170351	0.966416060516987	-0.0362846796807569	0.99968939864732	0.0377908490064263	NA	KRIT1	KRIT1	47198	other	protein_coding	mixed_ns	19.0909863428498	7.22460898289714	0.378430367774213	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000002016.18	209.855728568451	12.7674825922436	-0.21511096592448	NA	-0.279332915323281	0.99968939864732	-0.041644951643162	NA	RAD52	RAD52	78318	other	protein_coding	mixed_ns	15.8016759416515	8.31440119610478	0.52617211154096	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000002330.13	536.456645765439	68.0493311781647	0.107630205858813	0.895462006073828	0.133659139492236	0.99968939864732	0.0425589665214226	NA	BAD	BAD	14875	other	protein_coding	mixed_ns	65.4071037661769	71.7558858678336	1.09706563562809	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000002549.12	1090.12304317843	108.960961964904	0.111228699815215	0.796038526250839	-0.0548643858132224	0.99968939864732	-0.162765554524442	0.653818905653419	LAP3	LAP3	30781	other	protein_coding	mixed_ns	94.7019446018541	81.8648906193386	0.864447831177226	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000002587.10	66.8228077875131	15.1566978643873	-0.0927146861551866	NA	-0.100790523072986	0.99968939864732	-0.0206275916488666	NA	HS3ST1	HS3ST1	36415	other	protein_coding	mixed_ns	9.18311906192067	18.0141373060396	1.96165781850072	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000002745.13	471.867653686241	81.8004887124103	0.247622924384642	0.580822136082248	0.132264026446523	0.99968939864732	-0.103372013728518	NA	WNT16	WNT16	15738	other	protein_coding	mixed_ns	65.3481955081368	97.974413092693	1.49926730693725	TRUE	IAA3XR326H_vs_IAA3XWT
ENSG00000002746.15	91.5017580771091	11.123652938766	-0.117302848649356	NA	-0.78766796048297	0.99968939864732	-0.631036011672038	NA	HECW1	HECW1	453373	other	protein_coding	mixed_ns	2.86888394134527	3.01629873176952	1.0513840202107	TRUE	IAA3XR326H_vs_IAA3XWT
